GET_CAR_BLOCKING_CAR                                   0x66B43B06   void GET_CAR_BLOCKING_CAR(Car car0, Car *car1)
GET_CAR_FORWARD_VECTOR                                 0x7E4F49B5   void GET_CAR_FORWARD_VECTOR(Car car, Vector3 *vec)
GET_CAR_LIVERY                                         0x10237666   void GET_CAR_LIVERY(Car car, int *livery)
GET_CAR_MASS                                           0x5D7C4F08   void GET_CAR_MASS(Car car, float *mass)
GET_CAR_SIREN_HEALTH                                   0x896249A    int GET_CAR_SIREN_HEALTH(Car car)
GET_CELLPHONE_RANKED                                   0x6B6019DB   -
GET_CHAR_ALLOWED_TO_RUN_ON_BOATS                       0x4C872A85   boolean GET_CHAR_ALLOWED_TO_RUN_ON_BOATS(Ped ped)
GET_CHAR_ANIM_BLEND_AMOUNT                             0x1DE37A21   void GET_CHAR_ANIM_BLEND_AMOUNT(Ped ped, char *AnimName0, char *AnimName1, float *amount)
GET_CHAR_ANIM_EVENT_TIME                               0x675A1B4E   -
GET_CHAR_ANIM_IS_EVENT                                 0x118174EC   boolean GET_CHAR_ANIM_IS_EVENT(Ped ped, char *AnimName0, char *AnimName1, boolean flag)
GET_CHAR_AREA_VISIBLE                                  0x6EA1F78    -
GET_CHAR_EXTRACTED_VELOCITY                            0x7B3F0058   void GET_CHAR_EXTRACTED_VELOCITY(Ped ped, boolean, float *x, float *y, float *z)
GET_CHAR_GRAVITY                                       0x746E7171   int GET_CHAR_GRAVITY(Ped ped)
GET_CHAR_HIGHEST_PRIORITY_EVENT                        0x61A75D3    void GET_CHAR_HIGHEST_PRIORITY_EVENT(Ped ped, int *event)
GET_CHAR_MAX_MOVE_BLEND_RATIO                          0x54AE4F4B   float GET_CHAR_MAX_MOVE_BLEND_RATIO(Ped ped)
GET_CHAR_MELEE_ACTION_FLAG2                            0x32F729B    boolean GET_CHAR_MELEE_ACTION_FLAG2(Ped ped)
GET_CHAR_MOVEMENT_ANIMS_BLOCKED                        0x11292C09   boolean GET_CHAR_MOVEMENT_ANIMS_BLOCKED(Ped ped)
GET_CHAR_MOVE_ANIM_SPEED_MULTIPLIER                    0x325B1A34   void GET_CHAR_MOVE_ANIM_SPEED_MULTIPLIER(Ped ped, float *multiplier)
